Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Detroit,1 Mar,43.1,20.7,33.2,12,,0,,16.2,,9.4,11.4,62.89
Detroit,2 Mar,52.5,40.5,46.3,35.8,,0.2,,17,33.3,8.3,40.7,79.71
Detroit,3 Mar,48.6,31.4,40.1,31.1,,0,,21.9,41.4,8.3,38.1,72.07
Detroit,4 Mar,45.6,33.1,38.6,25.9,,0,,13,,9.4,21.3,59.9
Detroit,5 Mar,45.9,25.8,36.1,19.7,,0,,15.1,29.8,9.3,11.9,65.97
Detroit,6 Mar,37.3,29.6,33.8,18.2,,0.02,,25.3,41.4,8.4,50.6,80.37
Detroit,7 Mar,42.1,24.5,33.2,18.2,,0,,13.3,,9.4,14.1,60.27
Detroit,8 Mar,58,33.1,46,25.9,,0,,18.7,31.1,9.4,4.3,50.24
Detroit,9 Mar,61.1,45.9,53.6,40.5,,0.01,,20,33.3,9.4,24,51.59
Detroit,10 Mar,52.9,32.7,46,29.2,,0.13,,20,33.3,8.4,34.2,79.9
Detroit,11 Mar,44.8,29.7,38.1,24.9,,0,,10.8,,8.9,48,80.2
Detroit,12 Mar,50.7,37.8,43,33.5,,0.02,,13.3,,7,45.6,83.37
Detroit,13 Mar,48.1,38.6,43.7,28.6,,0,,27.7,43.6,9,32,53.58
Detroit,14 Mar,37.3,29.9,34.2,23.7,,0,,11.4,,9.5,19,60.91
Detroit,15 Mar,43,29.6,34.9,21.6,,0,,14.4,,9.4,12.5,57.88
Detroit,16 Mar,45.5,25.8,35.3,18.6,,0,,10.2,,9.3,23.5,71.2
Detroit,17 Mar,50.9,37.4,42.9,31.1,,0,,13.9,,9.2,34.5,60.59
Detroit,18 Mar,46.8,31.5,38.5,26.9,,0.31,,12.8,,7.9,29.3,74.25
Detroit,19 Mar,52.1,39.6,42.7,33.6,,0.19,,12.3,,5.1,53.3,94.49
Detroit,20 Mar,63.1,30.1,50,18.6,,0,,28.4,41.4,9,51.2,75.84
Detroit,21 Mar,34.9,24.5,29.3,14.8,,0,,16.2,29.8,9.4,32.7,58.11
Detroit,22 Mar,38.1,20.6,30.1,13.5,,0.02,,13.9,,8.7,18.8,66.81
Detroit,23 Mar,41.1,32.1,36.3,25.3,,0.08,,9.7,,7,53.3,86.59
Detroit,24 Mar,41.7,35.6,38.4,29.9,,0,,11.4,,9.3,47.8,74.16
Detroit,25 Mar,54.5,31.4,42.1,25.7,,0,,10.8,,8.8,9.3,76.03
Detroit,26 Mar,57.1,39.6,48,33.9,,0.09,,13.3,,9,35.1,78.73
Detroit,27 Mar,43.5,34.5,39.3,25.9,,0,,12,,8.9,49.6,89.57
Detroit,28 Mar,50.1,39.6,44.4,33.8,,1.31,,13.5,,4.8,46.7,97.69
Detroit,29 Mar,63.6,45.6,52.5,39.3,,0.41,,31.8,52.8,8.4,52.7,76.2
Detroit,30 Mar,48.9,42.5,44.1,35.2,,0,,21.4,42.5,9.4,54.3,69.33
Detroit,31 Mar,46.1,39.1,41.5,33.4,,0,,11.4,,9.3,55.3,83.41
Detroit,1 Apr,49.3,40.3,44.5,36.2,,0,,9.3,,8.7,45,74.97
Detroit,2 Apr,60.1,36.9,47.6,32.2,,0,,12,,9.4,0,54.36
Detroit,3 Apr,57.4,33.8,45,30.5,,0,,12.7,,9.2,0,58.54
Detroit,4 Apr,58.4,34,46.6,35.2,,0,,8.6,,9.3,28.1,65.43
Detroit,5 Apr,48.9,38.3,43.7,33.6,,0,,11.4,,9.4,29.7,74.5
Detroit,6 Apr,56.6,31.4,44.8,44.6,,0,,8.6,,8.9,14.3,56.28
Detroit,7 Apr,60,43.5,50.1,41.9,,0.41,,11.4,31.1,7.4,46.1,75.25
